URL,http_status,final_url,redirect_chain,content_type,response_time_ms,canonical,robots_meta,x_robots_tag,hreflang_count,title,meta_description,h1,language,content_length_bytes
https://souliography.com/,301,https://souliography.com/en/,1,text/html,45,https://souliography.com/en/,N/A,N/A,0,N/A,N/A,N/A,en,230
https://souliography.com/en/,200,https://souliography.com/en/,0,text/html,120,https://souliography.com/en/,"index, follow",N/A,40,Souliography — Destiny Matrix & Soul Blueprint,Generate your free Destiny Matrix and Soul Chart in seconds with AI insights.,Your Free Destiny Matrix & Soul Chart,en,49120
https://souliography.com/de/,200,https://souliography.com/de/,0,text/html,125,https://souliography.com/de/,"index, follow",N/A,40,Souliography — Schicksalsmatrix & Seelenblaupause,Ihr kostenloses Schicksalsmatrix- & Seelendiagramm in Sekundenschnelle.,Ihr kostenloses Schicksalsmatrix- & Seelendiagramm,de,48950
https://souliography.com/fr/,200,https://souliography.com/fr/,0,text/html,122,https://souliography.com/fr/,"index, follow",N/A,40,Souliography — Matrice du Destin & Plan de l'Âme,Générez votre thème gratuit de Matrice du Destin en quelques secondes.,Votre Thème Gratuit de Matrice du Destin,fr,48720
https://souliography.com/es/,200,https://souliography.com/es/,0,text/html,118,https://souliography.com/es/,"index, follow",N/A,40,Souliography — Matriz del Destino y Plano del Alma,Genera tu Carta Gratuita de la Matriz del Destino en segundos.,Tu Carta Gratuita de la Matriz del Destino,es,48650
https://souliography.com/ar/,200,https://souliography.com/ar/,0,text/html,130,https://souliography.com/ar/,"index, follow",N/A,40,سوليوجرافي — مخطط مصفوفة القدر والروح,أنشئ مخطط مصفوفة القدر المجاني في ثوانٍ.,مخطط مصفوفة القدر والروح المجاني,ar,50200
https://souliography.com/hi/,200,https://souliography.com/hi/,0,text/html,132,https://souliography.com/hi/,"index, follow",N/A,40,सोलियोग्राफी — डेस्टिनी मैट्रिक्स और आत्मा चार्ट,सेकंडों में अपना मुफ़्त डेस्टिनी मैट्रिक्स और आत्मा चार्ट बनाएं।,आपका मुफ़्त डेस्टिनी मैट्रिक्स और आत्मा चार्ट,hi,51400
https://souliography.com/en/calculators/life-path-number/,200,https://souliography.com/en/calculators/life-path-number/,0,text/html,115,https://souliography.com/en/calculators/life-path-number/,"index, follow",N/A,40,Life Path Number Calculator — Free Reading,Calculate your Life Path Number instantly.,Life Path Number Calculator,en,42100
https://souliography.com/en/destiny-matrix/arcana/1-the-magician/,200,https://souliography.com/en/destiny-matrix/arcana/1-the-magician/,0,text/html,110,https://souliography.com/en/destiny-matrix/arcana/1-the-magician/,"index, follow",N/A,40,1st Arcana: The Magician — Destiny Matrix Meaning,Deep interpretation of the 1st Major Arcana (The Magician).,The Magician (1st Arcana),en,45300
https://souliography.com/en/destiny-matrix/birthdays/january-1/,200,https://souliography.com/en/destiny-matrix/birthdays/january-1/,0,text/html,108,https://souliography.com/en/destiny-matrix/birthdays/january-1/,"index, follow",N/A,40,January 1 Birthday Personality & Destiny Matrix,Complete Destiny Matrix reading for people born on January 1.,January 1 Soul Chart,en,41200
https://souliography.com/en/numerology/life-path-number/1/,200,https://souliography.com/en/numerology/life-path-number/1/,0,text/html,105,https://souliography.com/en/numerology/life-path-number/1/,"index, follow",N/A,40,Life Path Number 1 Meaning & Vibration,Comprehensive analysis of Life Path Number 1.,Life Path Number 1,en,43800
